Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8785,Métropolitain Nord / Provencher,2019-10-30,02:30:00,2,30,2,6,0,0,4,2,0,0,0,1,61,0,0,0,0,0,460,76
8786,Métropolitain Nord / Provencher,2019-10-31,02:30:00,2,30,0,6,0,0,1,4,0,0,0,0,10,1,0,0,0,0,460,22
8709,Pie-IX / Rouen,2019-11-06,02:45:00,2,45,1,7,1,0,7,2,0,0,0,0,1,0,0,0,0,0,139_439,19
8784,Métropolitain Nord / Provencher,2019-10-29,02:45:00,2,45,2,5,0,0,3,2,0,0,0,4,59,0,0,0,0,0,460,75
8785,Métropolitain Nord / Provencher,2019-10-30,02:45:00,2,45,1,5,0,0,1,4,0,0,0,4,68,1,0,0,0,0,460,84
8786,Métropolitain Nord / Provencher,2019-10-31,02:45:00,2,45,5,5,0,0,1,2,0,0,0,0,8,0,0,0,0,0,460,21
8709,Pie-IX / Rouen,2019-11-06,03:00:00,3,0,0,4,0,0,9,1,0,1,1,1,0,0,0,0,0,0,139_439,17
8784,Métropolitain Nord / Provencher,2019-10-29,03:00:00,3,0,2,3,0,0,9,2,0,0,0,2,83,1,0,0,0,0,460,102
8785,Métropolitain Nord / Provencher,2019-10-30,03:00:00,3,0,2,3,0,0,4,2,0,0,0,4,87,1,0,0,0,0,460,103
8786,Métropolitain Nord / Provencher,2019-10-31,03:00:00,3,0,3,5,0,0,4,3,0,0,0,0,10,2,0,0,0,0,460,27
8705,Pie-IX / Rouen,2019-11-05,03:00:00,3,0,0,4,0,1,2,0,0,0,2,2,2,0,0,0,0,0,139_439,13
8713,Pie-IX / Rouen,2019-11-07,03:00:00,3,0,0,6,2,2,11,0,0,1,0,2,2,0,0,0,0,0,139_439,26
8705,Pie-IX / Rouen,2019-11-05,03:15:00,3,15,0,6,0,0,8,0,0,1,0,3,1,0,0,0,0,0,139_439,19
8713,Pie-IX / Rouen,2019-11-07,03:15:00,3,15,0,5,1,3,9,1,0,0,2,1,2,0,0,0,0,0,139_439,24
8709,Pie-IX / Rouen,2019-11-06,03:15:00,3,15,0,2,0,0,10,0,0,1,1,1,1,0,0,0,0,0,139_439,16
8784,Métropolitain Nord / Provencher,2019-10-29,03:15:00,3,15,1,2,0,0,2,2,0,0,0,1,99,1,0,0,0,0,460,108
8785,Métropolitain Nord / Provencher,2019-10-30,03:15:00,3,15,1,2,0,0,9,5,0,0,0,2,80,0,0,0,0,0,460,99
8786,Métropolitain Nord / Provencher,2019-10-31,03:15:00,3,15,2,6,0,0,11,0,0,0,0,3,10,1,0,0,0,0,460,33
8709,Pie-IX / Rouen,2019-11-06,03:30:00,3,30,0,4,1,0,7,1,0,2,0,0,1,0,0,0,0,0,139_439,16
8784,Métropolitain Nord / Provencher,2019-10-29,03:30:00,3,30,2,3,0,0,8,1,0,0,0,3,58,0,0,0,0,0,460,75
8705,Pie-IX / Rouen,2019-11-05,03:30:00,3,30,0,4,2,1,12,0,1,0,0,1,1,0,0,0,0,0,139_439,22
8713,Pie-IX / Rouen,2019-11-07,03:30:00,3,30,0,4,3,1,9,0,0,1,1,1,0,0,0,0,0,0,139_439,20
8785,Métropolitain Nord / Provencher,2019-10-30,03:30:00,3,30,3,2,0,0,3,7,0,0,0,4,117,0,0,0,0,0,460,136
8786,Métropolitain Nord / Provencher,2019-10-31,03:30:00,3,30,2,2,0,0,2,3,0,0,0,4,14,0,0,0,0,0,460,27
8709,Pie-IX / Rouen,2019-11-06,03:45:00,3,45,0,0,1,1,11,1,0,0,0,1,2,0,0,0,0,0,139_439,17
8784,Métropolitain Nord / Provencher,2019-10-29,03:45:00,3,45,2,4,0,0,8,4,0,0,0,2,29,0,0,0,0,0,460,49
